"number","SUStartTime","age","sex","model","Condition","LR_STE","Asym_STE","SatT_STE","MSE_STE","LR_SPE","Asym_SPE","SatT_SPE","MSE_SPE","LR_RTE","Asym_RTE","SatT_RTE","MSE_RTE","LR_RPE","Asym_RPE","SatT_RPE","MSE_RPE","SatT"
55,18.325,NA,NA,15,"online",0.0210836871926027,0.970326228380775,Inf,0.0419519326114905,0.602171236139367,0.322726087450877,5,0.0358766424840261,0.0250621736779787,0.847495475370399,Inf,0.032796724680998,0.0351948122382978,0.482188175921067,Inf,0.0194988895786621,Inf
56,35.997,NA,NA,16,"terminal",0.836012316937478,0.211140435174235,3,0.0996014163731725,0.832454304987609,0.17774392460375,3,0.0720392509732935,0.835054409136783,0.222837285680497,3,0.107382163026359,0.849144998839557,0.184003409860022,3,0.072010155110435,3
57,37.533,NA,NA,13,"online",0.900767225760775,0.227373597502488,3,0.0279139743267862,0.648292945165747,0.199840860412314,4,0.0296745333366157,0.670124857134335,0.164542450954047,4,0.0237815159388653,0.364767814428149,0.134874010875362,8,0.0205086461124848,4
58,18.122,NA,NA,15,"terminal",0.498174276345989,0.460366797217748,6,0.0435005106973138,0.157497131720652,0.457628602811585,19,0.0286046605998575,0.476430507580086,0.482557269330997,6,0.0290877122987653,0.526597070343346,0.406597124686221,6,0.0278085438118926,6
59,24.122,NA,NA,3,"online",0.1668936793202,0.67930384525679,18,0.0301466918014195,0.14356527881253,0.530420139874832,21,0.0227454808586097,0.156945474053632,0.730735555558396,19,0.0193976193161618,0.165055607638752,0.426440371814561,18,0.0130681162025075,18
60,25.169,NA,NA,17,"terminal",1,0.366873113192866,2,0.0638136682730503,0.144260569846048,0.234822760526859,21,0.035219700537829,1,0.475837728184433,2,0.0502163624059243,1,0.0417084161791768,2,0.0102066698342474,2
61,17.989,NA,NA,7,"online",0.384798494704806,0.336614398633945,8,0.0388587313981441,0.602329926946109,0.255185702271956,5,0.0215410707125461,0.942914802420933,0.271771644583592,3,0.027998750034947,0.869108210966635,0.283827183108193,3,0.0240114555820438,6
62,36.418,NA,NA,14,"terminal",1,0.0618690124604071,2,0.0173638834778526,1,0.0399641821261023,2,0.00914997160891953,1,0.169771662029151,2,0.0331078825375426,1,0.114678188523372,2,0.0184694733886809,2
63,48.188,NA,NA,3,"online",0.0488494210639364,0.87651980475567,Inf,0.0230886174449593,0.0634125907181915,0.515379608950685,47,0.0172652032139661,0.0113942689107907,1.23904297384716,Inf,0.0341891198203565,1,0.0177425225971993,2,0.00311553598950827,Inf
64,24.21,NA,NA,14,"terminal",0.0424099679242244,0.77809921531754,Inf,0.0264846552894224,0.0347851758355377,0.716296743299686,Inf,0.0188440376515562,0.0255377849816819,0.968160169211066,Inf,0.0238950449679594,0.0377476280182843,0.568490504331444,Inf,0.0242584269782352,Inf
65,18.203,NA,NA,18,"online",0.238582362284427,0.53762865225205,12,0.0485007821469367,1,0.406247148635907,2,0.0451906510839614,0.336168841742354,0.455562255155904,9,0.0456811343530919,1,0.261927176553703,2,0.032618976912646,10
66,18.258,NA,NA,13,"terminal",0.267958454501812,0.389740012840479,11,0.0573279772506009,0.424269315128343,0.16949305872382,7,0.027034813935527,0.303283851945989,0.420290042613461,10,0.0561437445985301,0.616678908299484,0.202410610021706,5,0.0388769258006868,10
67,30.193,NA,NA,16,"online",0.0984221324113223,0.802962206616935,30,0.0277582809129207,0.208638150123685,0.524746788173275,14,0.0282220667047331,0.129496656575001,0.621135943194504,23,0.0252070671574182,0.537323641520299,0.349204618593698,5,0.0231561819203083,26
68,30.783,NA,NA,8,"terminal",0.425608881888132,0.689676710490044,7,0.0131156204070652,0.360362730273304,0.618578116371705,8,0.00770520746041066,0.354093595703486,0.701806532061169,8,0.0086022300995365,0.31623630457497,0.631472919141153,9,0.0123265464953852,8
69,18.056,NA,NA,9,"online",0.0608456270292192,0.709623351454244,49,0.0402709049306347,0.0729711938171015,0.541415358857904,41,0.0373888500650448,0.0680769372622138,0.665036953833859,44,0.0268567856888192,0.0703588461673672,0.523450170105617,43,0.0247000408771133,46
70,19.954,NA,NA,6,"terminal",0.276044369248707,0.312825552686596,11,0.0298853266435761,0.137792683010569,0.207597584004478,22,0.0220862064238544,1,0.376442647470512,2,0.0266551108866486,0.30422443606643,0.348627793257938,10,0.0220072460718813,6
